,Total_Stops,Price,Date,Month,Arrival_Hour,Arrival_Minute,Dep_Hour,Dep_Min,Duration_H,Duration_M,Airline_Air India,Airline_GoAir,Airline_IndiGo,Airline_Jet Airways,Airline_Jet Airways Business,Airline_Multiple carriers,Airline_Multiple carriers Premium economy,Airline_SpiceJet,Airline_Trujet,Airline_Vistara,Airline_Vistara Premium economy,Source_Chennai,Source_Kolkata,Source_Mumbai,Source_New Delhi,Destination_Cochin,Destination_Hyderabad,Destination_Kolkata,Destination_New Delhi
25,2,13292,9,6,12,35,21,25,15,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
26,1,8238,1,6,3,35,21,50,5,45,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
27,1,7682,15,5,12,55,7,0,5,55,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
28,0,4668,18,6,12,35,9,45,2,50,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
29,0,3687,15,6,9,20,7,5,2,15,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
30,0,3687,18,6,9,20,7,5,2,15,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
31,2,13227,1,5,23,15,9,50,13,25,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
32,0,4423,6,4,6,50,4,0,2,50,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
33,2,10919,15,6,12,35,14,35,22,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
34,1,12373,18,5,12,35,7,5,5,30,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
35,1,5894,27,6,21,0,10,35,10,25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
36,1,4649,21,5,20,20,15,5,5,15,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
37,0,6245,18,5,16,45,14,15,2,30,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
38,1,19225,6,3,13,15,7,0,6,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
39,1,14924,3,6,19,0,7,5,11,55,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
40,1,9646,21,5,18,10,7,5,11,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
41,1,8714,15,3,15,15,6,45,8,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
42,1,12373,18,5,19,0,20,55,22,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
43,0,3383,6,5,13,55,11,10,2,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
44,1,13062,21,3,21,0,9,0,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
45,0,3527,24,3,8,35,5,45,2,50,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
46,0,3943,27,5,6,50,4,0,2,50,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
47,0,4667,3,5,13,55,11,40,2,15,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
48,1,6117,15,5,11,5,19,0,16,5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
49,2,11150,27,6,19,0,23,5,19,55,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
50,0,7202,9,3,14,15,11,0,3,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
51,1,12121,1,5,10,55,9,35,25,20,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
52,0,4377,24,3,1,10,22,20,2,50,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
53,0,3943,18,6,0,15,21,15,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
54,0,4483,3,4,2,45,23,55,2,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
55,1,14231,24,3,12,0,19,45,16,15,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
56,2,17345,1,3,23,55,8,50,15,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
57,0,7414,6,3,9,20,7,5,2,15,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
58,1,8073,6,5,1,30,19,0,6,30,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
59,1,12395,6,3,16,45,15,40,25,5,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
60,1,8366,6,6,21,50,9,25,12,25,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
61,1,5117,3,4,9,25,6,5,27,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
62,1,12524,3,6,19,0,8,45,10,15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
63,1,7191,15,5,1,30,15,0,10,30,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
64,0,3687,24,5,9,20,7,5,2,15,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
65,1,5894,24,6,21,0,10,35,10,25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
66,0,5403,24,4,12,35,9,45,2,50,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
67,0,3625,6,5,15,25,13,55,1,30,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
68,2,10861,21,5,19,15,5,55,13,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
69,0,6297,12,3,15,35,13,20,2,15,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
70,0,5678,1,6,8,30,7,5,1,25,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
71,1,9134,9,3,8,15,5,45,26,30,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
72,1,10791,24,6,19,0,11,40,7,20,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
73,2,12819,24,6,12,35,23,5,13,30,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
74,1,6893,21,3,10,5,5,5,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
75,0,7240,9,3,12,35,9,50,2,45,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
76,0,3898,3,4,14,30,11,40,2,50,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
77,0,4049,3,4,7,55,6,25,1,30,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
78,1,10262,15,6,12,35,17,30,19,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
79,0,3332,21,3,10,35,8,20,2,15,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
80,1,10844,9,6,12,0,21,10,14,50,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
81,0,7229,24,3,22,35,19,55,2,40,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
82,1,13941,6,5,4,40,6,30,22,10,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
83,1,5894,27,6,21,0,11,25,9,35,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
84,1,10197,18,5,19,0,9,0,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
85,1,13712,6,3,11,25,14,5,21,20,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
86,1,5636,24,6,7,25,2,0,5,25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
87,2,13014,6,6,4,25,9,40,18,45,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
88,1,7064,1,4,20,45,8,25,12,20,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
89,1,10703,24,5,14,25,20,25,18,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
90,1,9646,27,5,22,30,13,15,9,15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
91,1,17057,6,3,13,20,2,15,11,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
92,1,13817,12,3,10,25,16,55,17,30,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
93,2,13748,6,3,19,15,5,55,13,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
94,0,4880,21,4,23,20,20,45,2,35,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
95,0,3540,21,6,7,40,5,15,2,25,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
96,0,3257,15,5,8,35,5,55,2,40,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
97,0,6478,3,6,22,50,19,50,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
98,0,8040,18,6,8,30,7,5,1,25,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
99,2,14300,12,6,12,35,20,0,16,35,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
100,1,14781,15,5,20,45,8,25,12,20,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
101,1,14939,9,6,8,15,20,0,12,15,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
102,1,10262,24,6,4,25,20,55,7,30,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
103,1,6528,12,5,14,35,14,35,24,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
104,0,6121,1,5,8,55,6,10,2,45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
105,2,13029,18,5,4,25,19,30,8,55,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
106,1,11421,27,3,18,50,11,40,7,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
107,1,7574,27,3,19,15,4,45,14,30,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
108,2,11596,9,5,19,15,12,55,30,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
109,2,15129,24,5,19,0,23,5,19,55,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
110,1,13555,18,3,5,5,14,5,15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
111,0,5780,12,4,21,50,18,55,2,55,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
112,1,9397,12,5,9,5,20,20,12,45,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
113,1,17024,6,3,4,25,18,15,10,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
114,1,5281,27,6,12,55,7,0,5,55,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
115,1,10348,18,5,22,30,7,5,15,25,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
116,1,12677,6,3,9,25,17,20,16,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
117,1,15147,3,3,1,35,15,25,10,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
118,0,4668,12,6,9,40,7,0,2,40,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
119,1,15554,9,5,19,0,7,5,11,55,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
120,0,3971,9,4,8,35,5,55,2,40,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
121,0,3100,3,5,16,25,15,0,1,25,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
122,1,9663,6,5,10,5,20,0,14,5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
123,1,27430,1,3,19,15,23,0,20,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
124,0,3540,12,5,7,40,5,15,2,25,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
125,2,10676,21,5,11,10,12,0,23,10,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
126,1,13044,12,6,8,15,14,5,18,10,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
127,1,14388,6,5,12,0,20,0,16,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
128,0,3943,24,6,6,50,4,0,2,50,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
129,0,3597,3,6,17,5,14,45,2,20,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
130,1,5932,21,3,19,50,11,50,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
131,1,10262,15,6,4,25,11,30,16,55,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
132,0,6216,12,5,17,50,14,40,3,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
133,0,4804,15,6,23,10,20,25,2,45,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
134,1,14067,21,5,1,30,11,30,14,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
135,2,15129,18,5,19,0,19,10,23,50,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
136,2,13376,6,6,4,25,6,45,21,40,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
137,2,10441,27,6,19,15,22,0,21,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
138,0,4030,24,5,8,45,6,0,2,45,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
139,1,17024,3,3,18,50,8,0,10,50,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
140,1,13017,9,4,1,30,17,30,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
141,1,6686,6,6,7,45,23,30,8,15,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
142,1,5636,15,6,7,25,2,0,5,25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
143,1,6442,9,6,16,10,7,35,8,35,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
144,1,9486,21,5,0,55,13,5,11,50,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
145,1,10844,21,5,23,35,20,0,27,35,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
146,2,15318,3,6,4,25,20,0,8,25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
147,1,5117,3,4,9,25,12,30,20,55,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
148,1,6147,24,6,20,0,15,10,4,50,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
149,1,7005,9,6,21,0,12,50,8,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
150,0,3873,3,4,0,40,22,20,2,20,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
151,2,9270,21,3,18,50,18,25,24,25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
152,0,3898,27,6,14,30,11,40,2,50,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
153,1,14781,12,5,20,45,8,25,12,20,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
154,1,8586,24,5,8,15,20,0,12,15,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
155,2,10697,9,5,7,55,8,20,23,35,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
156,2,14300,27,6,12,35,20,0,16,35,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
157,0,8855,3,3,21,45,18,55,2,50,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
158,1,10844,12,5,18,15,16,30,25,45,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
159,1,17024,6,3,4,25,2,15,26,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
160,1,9314,1,5,14,25,9,35,28,50,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
161,0,4777,24,3,3,25,0,40,2,45,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
162,1,7662,9,6,13,15,12,0,25,15,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
163,1,6442,9,5,16,10,6,50,9,20,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
164,1,5264,12,6,13,15,8,45,4,30,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
165,1,12898,27,5,4,25,13,0,15,25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
166,0,6092,3,3,15,25,13,55,1,30,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
167,0,3311,21,5,8,35,5,55,2,40,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
168,1,6540,27,3,4,25,19,15,9,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
169,0,3419,27,5,4,15,1,30,2,45,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
170,1,5177,3,4,12,35,14,0,22,35,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
171,0,8246,18,4,21,10,18,5,3,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
172,1,14676,9,6,21,5,9,35,11,30,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
173,1,13587,27,6,21,0,11,30,9,30,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
174,1,9663,6,5,9,20,21,10,12,10,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
175,1,13044,12,6,10,5,16,30,17,35,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
176,1,5073,3,4,1,30,20,25,5,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
177,1,9345,21,5,18,50,17,0,25,50,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
178,1,9663,6,5,10,5,14,5,20,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
179,1,14277,21,5,21,0,8,0,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
180,1,10262,1,6,4,25,10,0,18,25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
181,0,5678,27,3,21,5,19,35,1,30,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
182,1,13727,15,5,1,30,16,0,9,30,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
183,1,9663,6,5,12,0,20,0,16,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
184,0,3858,12,5,17,5,14,45,2,20,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
185,1,4812,24,6,13,15,8,45,4,30,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
186,1,5775,27,6,3,35,21,50,5,45,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
187,1,10539,6,6,9,45,9,35,24,10,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
188,0,4804,3,6,18,5,15,30,2,35,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
189,0,3383,12,6,13,55,11,10,2,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
190,1,8738,3,3,17,5,12,10,4,55,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
191,1,7165,27,3,6,50,5,15,25,35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
192,1,6412,24,6,22,30,16,10,6,20,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
193,0,8016,27,6,22,0,18,55,3,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
194,1,11087,12,3,15,15,20,35,18,40,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
195,0,3543,27,6,12,0,9,45,2,15,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
196,1,12471,12,6,4,40,16,30,12,10,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
197,1,10262,24,6,4,25,9,0,19,25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
198,0,4441,18,3,16,10,13,20,2,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
199,1,12537,27,3,15,30,7,5,8,25,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
200,1,10091,24,3,7,40,22,25,9,15,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
201,0,6961,3,6,23,55,21,5,2,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
202,0,5013,24,4,8,50,5,35,3,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
203,0,6934,18,5,8,0,5,10,2,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
204,1,10877,3,6,19,0,6,40,12,20,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
205,0,7229,18,4,18,10,15,15,2,55,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
206,1,7048,27,3,1,35,16,0,9,35,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
207,0,4878,27,6,19,35,17,0,2,35,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
208,1,10844,21,5,23,35,14,5,9,30,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
209,2,15129,18,5,4,25,23,5,29,20,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
210,0,3943,12,5,3,25,0,30,2,55,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
211,1,5583,6,6,11,20,6,5,5,15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
212,1,9646,6,6,16,10,7,5,9,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
213,1,7677,3,6,19,15,8,30,10,45,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
214,1,6842,1,6,10,5,5,10,4,55,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
215,0,4995,24,6,10,15,8,45,1,30,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
216,1,9555,9,6,18,50,7,10,11,40,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
217,0,4077,1,6,4,15,1,30,2,45,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
218,0,7229,12,5,18,10,15,15,2,55,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
219,1,12192,9,6,19,0,9,0,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
